average error,precision,recal,a,s,m
1438996169763.9543,0,0,0.00030000000000000003,sgd,300
3.5637702165844675e+87,0.5691382765531062,1.0,0.00030000000000000003,sgd,350
0.03643336866112441,0.4444444444444444,0.056338028169014086,0.00030000000000000003,adam,100
0.03632334803438073,0.570264765784114,0.9859154929577465,0.00030000000000000003,adam,150
0.03331349891387275,0.566350710900474,0.8415492957746479,0.00030000000000000003,adam,200
0.036409880480608794,0.5762004175365344,0.971830985915493,0.00030000000000000003,adam,250
0.03653994421121328,0.5717213114754098,0.9823943661971831,0.00030000000000000003,adam,300
0.04418770455477536,0.5691382765531062,1.0,0.00030000000000000003,adam,350
0.032021868109763534,0.5689277899343544,0.9154929577464789,0.0004,lbfgs,100
0.03156708399953754,0.5720250521920668,0.9647887323943662,0.0004,lbfgs,150
0.03173385142580839,0.579295154185022,0.926056338028169,0.0004,lbfgs,200
0.03152222732884004,0.5757575757575758,0.9366197183098591,0.0004,lbfgs,250
0.03190902899029934,0.5670995670995671,0.9225352112676056,0.0004,lbfgs,300
0.03147892499893838,0.5796178343949044,0.9612676056338029,0.0004,lbfgs,350
3.6514432566240834e+84,0.5691382765531062,1.0,0.0004,sgd,100
4.8726799697291646e+41,0,0,0.0004,sgd,150
3299241578023.1885,0,0,0.0004,sgd,200
3.4478468218179554e+86,0.5691382765531062,1.0,0.0004,sgd,250
140018679545.37204,0,0,0.0004,sgd,300
4.009117266788443e+40,0.5691382765531062,1.0,0.0004,sgd,350
0.0340427683785692,0.5714285714285714,0.8309859154929577,0.0004,adam,100
0.04417208149725641,0.5694164989939637,0.9964788732394366,0.0004,adam,150
0.04152536169556129,0.8,0.014084507042253521,0.0004,adam,200
0.039984566834834916,0.5705645161290323,0.9964788732394366,0.0004,adam,250
0.03974294258246628,0.5711382113821138,0.9894366197183099,0.0004,adam,300
0.035399908413075006,0.576017130620985,0.9471830985915493,0.0004,adam,350
0.03150967624678482,0.5759493670886076,0.9612676056338029,0.0005,lbfgs,100
0.031488263084036086,0.5762004175365344,0.971830985915493,0.0005,lbfgs,150
0.031865384134808696,0.5813953488372093,0.8802816901408451,0.0005,lbfgs,200
0.03192589651234874,0.5730337078651685,0.897887323943662,0.0005,lbfgs,250
0.031486490961212636,0.5768421052631579,0.9647887323943662,0.0005,lbfgs,300
0.03175771849275437,0.579520697167756,0.9366197183098591,0.0005,lbfgs,350
1.8462410024872166e+81,0.5691382765531062,1.0,0.0005,sgd,100
nan,0,0,0.0005,sgd,150
5.5452348874318365e+31,0,0,0.0005,sgd,200
1.939619073506538e+46,0.5691382765531062,1.0,0.0005,sgd,250
10615301967.691328,0,0,0.0005,sgd,300
1039618891.7180142,0,0,0.0005,sgd,350
0.035185690379357745,0.46875,0.1056338028169014,0.0005,adam,100
0.039075501008023275,0.5609756097560976,0.1619718309859155,0.0005,adam,150
0.035048912627026245,0.5738758029978587,0.9436619718309859,0.0005,adam,200
0.03678210400027054,0.5731958762886598,0.9788732394366197,0.0005,adam,250
0.034665452494624216,0.553921568627451,0.397887323943662,0.0005,adam,300
0.03331362326490751,0.5720620842572062,0.9084507042253521,0.0005,adam,350
0.031558271958361375,0.5750528541226215,0.9577464788732394,0.0006000000000000001,lbfgs,100
0.03220521210368801,0.5701357466063348,0.8873239436619719,0.0006000000000000001,lbfgs,150
0.03220026246383141,0.5720823798627003,0.8802816901408451,0.0006000000000000001,lbfgs,200
0.031464626261652764,0.5756302521008403,0.9647887323943662,0.0006000000000000001,lbfgs,250
